"Pill_id","molecules_contained","Molecule_id","quantity_(in_milligrams)."
"237","","1","155.5"
"238","","1","72.1"
"238","","7","2.3"
"241","","1","238"
"242","","1","214"
"243","","20","134.5"
"244","","1","210.6"
"245","","20","138.7"
"245","","9","2.26"
"246","","10","28.4"
"247","","4","1.9"
"247","","1","85.4"
"248","","4","76.0"
"248","","5","24.9"
"248","","9","2.3"
"249","","1","133.8"
"250","","1","154.6"
"251","","1","221.8"
"252","","1","129.2"
"253","","1","143.6"
"254","","1","141.2"
"255","","1","139.3"
"256","","13","8.6"
"257","","1","220.6"
"258","","13","6.1"
"259","","13","10.8"
"260","","1","138.8"
"261","","6","19"
"261","","23","3"
"262","","4","124.1"
"262","","1","62.0"
"263","","10","35.7"
"263","","1","4.9"
"264","","13","4.2"
"265","","1","179.0"
"266","","1","134.2"
"266","","12","1.2"
"267","","15","33.2"
"269","","4","2.6"
"269","","5","1.9"
"269","","1","119.3"
"270","","1","131.2"
"271","","4","89.8"
"272","","1","133.9"
"273","","1","134.6"
"275","","6","124.0"
"276","","4","1.2"
"276","","1","62.0"
"277","","1","93.4"
"277","","7","14.5"
"278","","1","137.0"
"279","","4","101.5"
"280","","4","138.1"
"281","","1","167.6"
"282","","1","120.7"
"283","","1","133.9"
"284","","1","167.1"
"285","","15","134.8"
"286","","10","23.1"
"287","","1","91.6"
"287","","5","3.9"
"289","","5","106"
"289","","15","1"
"290","","1","57"
"291","","6","8"
"291","","15","150"
"292","","1","152"
"293","","4","131.9"
"293","","1","109.8"
"294","","1","133.0"
"295","","1","124.8"
"296","","1","162.3"
"297","","1","162.3"
"299","","15","64.4"
"300","","24","41.7"
"301","","4","121.1"
"302","","10","37.2"
"302","","25","10.1"
"303","","4","80.9"
"303","","9","25.1"
"304","","1","176.8"
"305","","1","125.5"
"306","","1","125.8"
"307","","1","153.2"
"308","","1","148.1"
"309","","1","58"
"309","","23","10"
"311","","1","201.5"
"312","","1","161.5"
"313","","1","124.3"
"314","","20","142.2"
"315","","1","128.2"
"316","","10","33.5"
"316","","11","8.4"
"318","","1","158.7"
"319","","6","22"
"319","","25","23"
"320","","1","2"
"320","","15","151"
"321","","10","9.3"
"321","","1","120"
"321","","5","1.9"
"322","","1","136.0"
"323","","26","10.6"
"324","","1","3.4"
"324","","9","21.8"
"325","","10","39.4"
"325","","11","7.2"
"326","","10","20.5"
"326","","11","4.8"
"326","","25","2.5"
"327","","10","14.04"
"327","","1","14.10"
"327","","5","1.9"
"328","","13","5.4"
"329","","1","87.2"
"329","","27","33.5"
"330","","28","2"
"330","","27","92"
"331","","10","31"
"331","","11","4"
"332","","10","45"
"332","","11","5"
"332","","1","2"
"333","","10","27"
"333","","25","9"
"334","","21","66"
"335","","1","100"
"336","","10","107"
"337","","6","6"
"337","","5","43"
"337","","15","21"
"339","","1","150.7"
"340","","1","165.4"
"341","","1","129.8"
"342","","1","148.4"
"343","","10","33.3"
"343","","11","7.3"
"343","","25","1.7"
"346","","5","89"
"346","","15","20"
"346","","23","51"
"347","","5","42"
"347","","15","13"
"347","","23","33"
"348","","29","122"
"349","","18","25"
"349","","1","2"
"350","","15","37"
"350","","23","41"
"351","","10","10"
"351","","1","1"
"352","","1","152.4"
"353","","1","138.4"
"354","","1","133.6"
"355","","10","37.4"
"356","","30","135.8"
"357","","20","138.3"
"358","","4","52.7"
"358","","1","68.0"
"359","","10","51.9"
"362","","1","126.9"
"363","","1","137.6"
"364","","20","138.3"
"365","","10","44.6"
"366","","6","0.6"
"366","","5","0.1"
"367","","10","46"
"368","","4","43.4"
"368","","5","13.8"
"368","","9","2.2"
