"Pill_id","name","logo","image","image_back","break_notch","color","weight","diameter","thickness","place","date","more_infos"
"371","Prägung nicht erkennbar","Prägung nicht erkennbar","http://vied12.github.io/pillen/static/pillen/bild1-61DCh8.jpg","","False","#83591b","unbekannt","8 mm","4 mm","Wien","2009/05/30",""
"372","Stier","Stierkopf","http://vied12.github.io/pillen/static/pillen/bild1-o8VQwA.jpg","","False","#a55f2b","unbekannt","9 mm","4 mm","Wien","2009/05/30",""
"373","Batman","Batman","http://vied12.github.io/pillen/static/pillen/bild1-tbWdLo.jpg","","False","#bc944f","unbekannt","9 mm","4 mm","Wien","2009/05/30",""
"374","Mitshubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-cma8pg.jpg","","False","#cba152","unbekannt","9 mm","4 mm","Wien","2009/05/29",""
"375","Noname","Noname","http://vied12.github.io/pillen/static/pillen/bild1-fxdXaY.jpg","","True","#f7f8fc","171.8 mg","7.0 mm","4.1 mm","Zürich","2009/05/01",""
"376","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-BRuIcg.jpg","","True","#c6a5a6","155.2 mg","7,1 mm","3,8 mm","Zürich","2009/05/01",""
"377","Katze (Cat)","Katze (Cat)","http://vied12.github.io/pillen/static/pillen/bild1-gVxo12.jpg","","False","#be8580","297 mg","8.1 mm","5.6 mm","Zürich","2009/05/01",""
"378","Noname","Noname (mit kleiner Vertiefung)","http://vied12.github.io/pillen/static/pillen/bild1-G8zm87.jpg","","True","#a6b9be","261.6 mg","7,0 mm","6,0 mm","Zürich","2009/04/21",""
"379","Radioaktiv (manche nennen es Atömli)","Radioaktiv Symbol","http://vied12.github.io/pillen/static/pillen/bild1-TJmi6l.jpg","","False","#ded9d7","263.3 mg","8.1 mm","5,3 mm","Zürich","2009/04/20",""
"380","Smiley","Smiley","http://vied12.github.io/pillen/static/pillen/bild1-2DFr6l.jpg","","True","#ebe7db","269.3 mg","8.3 mm","4.3 mm","Zürich","2009/04/18",""
"381","Rolex (Krone)","Rolex (Krone)","http://vied12.github.io/pillen/static/pillen/bild1-KbpVid.jpg","","False","#8eaba2","299.8 mg","8.1 mm","4.8 mm","Zürich","2009/04/18",""
"382","Kleeblatt","vierblättriges Kleeblatt","http://vied12.github.io/pillen/static/pillen/bild1-CAaTTl.jpg","","False","#9a6b6a","247.9 mg","8.3 mm","3.7 mm","Zürich","2009/04/18",""
"383","Ying & Yang","Ying & Yang","http://vied12.github.io/pillen/static/pillen/bild1-ACDjXK.jpg","","False","#a38d5c","unbekannt","8,0 mm","3,0 mm","Wien","2009/04/17",""
"384","Motorolla","Motorolla","http://vied12.github.io/pillen/static/pillen/bild1-9hp5cB.jpg","","False","#d4ccc6","240.6 mg","8.2 mm","3.9 mg","Zürich","2009/04/01",""
"385","D&G","D&G","http://vied12.github.io/pillen/static/pillen/bild1-2Wx0k3.jpg","","True","#e2dbcf","244.9 mg","8.2 mm","4.3 mm","Zürich","2009/04/01",""
"386","Atömli","Atömli","http://vied12.github.io/pillen/static/pillen/bild1-STh4y9.jpg","","False","#bea6af","224,6 mg","8,1 mm","3,8 mm","Zürich","2009/03/20",""
"387","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-QyJfTL.jpg","","True","#c76f7a","188.8 mg","8.0 mm","4.2 mm","Zürich","2009/03/10",""
"388","Notenschlüssel","Notenschlüssel","http://vied12.github.io/pillen/static/pillen/bild1-PYen5y.jpg","","False","#887d5d","213.3 mg","8.1 mm","3.4 mm","Zürich","2009/03/10",""
"389","Smiley","Smiley","http://vied12.github.io/pillen/static/pillen/bild1-Mye2oE.jpg","","False","#b2b4af","210.7 mg","8.1 mm","3.6 mm","Zürich","2009/03/10",""
"390","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-r2U6LJ.jpg","","True","#db6f74","187.6 mg","7.1 mm","4.1 mm","Roggwil","2009/03/10",""
"391","Jungfrau (Kappa)","Jungfrau (Kappa)","http://vied12.github.io/pillen/static/pillen/bild1-dXbhU0.jpg","","False","#c7ad9e","295.9 mg","9.15 mm","3.97 mm","Zürich","2009/03/09",""
"392","Rolex (Krone)","Rolex (Krone)","http://vied12.github.io/pillen/static/pillen/bild1-kpvmIZ.jpg","","False","#87998d","272 mg","8.3 mg","4.6 mm","Zürich","2009/03/08",""
"393","Mitsubishi","Mitsubishi Logo","http://vied12.github.io/pillen/static/pillen/bild1-rWhz2O.jpg","","False","#a87e2e","unbekannt","9,0 mm","3,5 mm","Wien","2009/03/07",""
"394","Dollar","Dollarzeichen","http://vied12.github.io/pillen/static/pillen/bild1-J3s0FN.jpg","","False","#d9a650","unbekannt","7,8 mm","4,4 mm","Wien","2009/03/07",""
"395","Krone","Krone","http://vied12.github.io/pillen/static/pillen/bild1-kratMU.jpg","","False","#b47c18","unbekannt","8,0 mm","3,0 mm","Wien","2009/03/07",""
"396","Krone","Krone","http://vied12.github.io/pillen/static/pillen/bild1-AkGZfy.jpg","","False","#b05f29","unbekannt","8,0 mm","4,0 mm","Wien","2009/03/07",""
"397","Ying & Yang","Ying & Yang","http://vied12.github.io/pillen/static/pillen/bild1-6XIJ1y.jpg","","False","#d3a140","unbekannt","8,0 mm","3,00 mm","Wien","2009/03/07",""
"398","Rolex (Krone)","Krone","http://vied12.github.io/pillen/static/pillen/bild1-7r6nLD.jpg","","False","#cd982e","unbekannt","8,0 mm","3,0 mm","Wien","2009/03/07",""
"399","Delfin","Delfin","http://vied12.github.io/pillen/static/pillen/bild1-FbFPxo.jpg","","False","#ca3a27","unbekannt","ca. 9,0 mm","4,5 mm","Wien","2009/03/07",""
"400","Batman","Batman","http://vied12.github.io/pillen/static/pillen/bild1-nAdVmw.jpg","","False","#acb0af","249.9 mg","9.1 mm","3.6 mm","Zürich","2009/03/03",""
"401","Noname","Noname","http://vied12.github.io/pillen/static/pillen/bild1-aMUaXg.jpg","","True","#bcbcbc","265.7 mg","7.0 mm","6.3 mm","Roggwill","2009/03/01",""
"402","No Name","kein Logo","http://vied12.github.io/pillen/static/pillen/bild1-xu4LY4.jpg","","True","#8a867c","keine Angabe","ca. 8 mm","ca. 5mm","Bremen","2009/02/02",""
"403","Rolex (Krone)","Rolex (Krone)","http://vied12.github.io/pillen/static/pillen/bild1-YyL5zz.jpg","","False","#9aac9d","280.0mg","8.1 mm","4.8 mm","Zürich","2009/02/01",""
"404","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-uqQHrm.jpg","","True","#e7eddd","273.7 mg","9.2 mm","3.4 mm","Zürich","2009/02/01",""
"405","Rolex (Krone)","Rolex (Krone)","http://vied12.github.io/pillen/static/pillen/bild1-Z6MWqc.jpg","","False","#95a68b","266.2 mg","8.1 mm","4.5 mm","Zürich","2009/02/01",""
"406","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-ESWxUk.jpg","","True","#e3b6b7","157.7 mg","7.3 mm","4.0 mm","Zürich","2009/02/01",""
"407","Herz","Herz kaum erkennbar","http://vied12.github.io/pillen/static/pillen/bild1-vURAOn.jpg","","True","#c77c82","273,3 mg","7,1 mm","4,0 mm","Zürich","2009/01/16",""
"408","No Name","No Name","http://vied12.github.io/pillen/static/pillen/bild1-x6JJGC.jpg","","True","#c6ccd1","273,3 mg","7,1 mm","6,3 mm","Zürich","2009/01/16",""
"409","MDMA Pulver","","http://vied12.github.io/pillen/static/pillen/bild1-YiXRJq.jpg","","True","#bb803b","","","","Wien","2009/01/06",""
"410","Rotes Fragezeichen","kaum erkennbares Logo","http://vied12.github.io/pillen/static/pillen/bild1-gx4UE2.jpg","","True","#a9450f","k..A.","7,4 mm","3,7 mm","Wien","2009/01/05",""
"411","Ying & Yang","Ying & Yang","http://vied12.github.io/pillen/static/pillen/bild1-vDajKw.jpg","","False","#ad8424","k.A.","8.0 mm","3,0 mm","Wien","2009/01/05",""
"412","No Name","No Name","http://vied12.github.io/pillen/static/pillen/bild1-dOP4ng.jpg","http://vied12.github.io/pillen/static/pillen/bild2-4EChSk.jpg","True","#535562,#a2aebc","260,3 mg","7,0 mm","6,1 mm","Zürich","2008/12/17",""
"413","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-92mTvt.jpg","http://vied12.github.io/pillen/static/pillen/bild2-sxoitW.jpg","False","#6d7464,#afb6a8","135,27 mg","8,09 mm","2,20 mm","Zürich","2008/12/17",""
"414","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-EpKZIm.jpg","","True","#9a4c43","272.79mg","8.09mm","4.55mm","Zürich","2008/12/17",""
"415","Nr. 10","Nr. 10","http://vied12.github.io/pillen/static/pillen/bild1-2xaj54.jpg","","False","#6a694f","187 mg","8,14 mm","3,70 mm","Zürich","2008/12/17",""
"416","Rolex, Krone","Rolex, Krone","http://vied12.github.io/pillen/static/pillen/bild1-MolrRL.jpg","","False","#e1b05b","","9,0 mm","4,29 mm","Wien","2008/12/15",""
"417","Dolce&Gabbana","DG","http://vied12.github.io/pillen/static/pillen/bild1-roPsS8.jpg","","False","#dc471b","","8,1 mm","4,73 mm","Wien","2008/12/15",""
"418","Sonne","Sonne","http://vied12.github.io/pillen/static/pillen/bild1-uMxn1z.jpg","","False","#7d541b","","8,14 mm","4,29 mm","Wien","2008/12/15",""
"419","Stern","Stern","http://vied12.github.io/pillen/static/pillen/bild1-RArUA4.jpg","","False","#0e1007","","7,27 mm","3,98 mm","Wien","2008/12/15",""
"420","No Name","No Name","http://vied12.github.io/pillen/static/pillen/bild1-c5Zvvr.jpg","http://vied12.github.io/pillen/static/pillen/bild2-JV6vGM.jpg","True","#535562,#abb7c1","279,4 mg","4,04 mm","6,41 mm","Roggwil","2008/11/17",""
"421","X (dreieckig)","X","http://vied12.github.io/pillen/static/pillen/bild1-dgQgxm.jpg","","True","#b1bece","378,4mg","10,14 mm (Länge)","4,38 mm","Zürich","2008/11/15",""
"422","No Name (sehr kleine Pille)","No Name","http://vied12.github.io/pillen/static/pillen/bild1-aeQNU4.jpg","http://vied12.github.io/pillen/static/pillen/bild2-W0M2Hn.jpg","True","#aa9b94,#ab988f","60,27 mg","5,03 mm","2,19 mm","Zürich","2008/11/15",""
"423","Euro","Euro","http://vied12.github.io/pillen/static/pillen/bild1-V4KSYX.jpg","","True","#cfb8b1","203,0 mg","8,1 mm","3,3 mm","Roggwill (Kanton Bern)","2008/10/29",""
"424","Stier (beidseitiges Logo)","Stier","http://vied12.github.io/pillen/static/pillen/bild1-fLHI28.jpg","http://vied12.github.io/pillen/static/pillen/bild2-4H7PZb.jpg","True","#d7d5da,#a08f8f","262, 7 mg","7,1 mm","5,7 mm","Roggwil","2008/10/29",""
"425","Tatzenkreuz (fälschlicherweise Keltenkreuz genannt","Tatzenkreuz","http://vied12.github.io/pillen/static/pillen/bild1-xYR0KU.jpg","http://vied12.github.io/pillen/static/pillen/bild2-8SsJIj.jpg","True","#e6ca15,#b79b05","293,2 mg","9,2 mg","4,1 mm","Zürich","2008/10/28",""
"426","XXX (Triple X)","XXX (Triple X)","http://vied12.github.io/pillen/static/pillen/bild1-D3Lbuf.jpg","http://vied12.github.io/pillen/static/pillen/bild2-0HmJLn.jpg","False","#461538,#db88c6","652,18 mg !!!","10,09 mm","5,58 mm","Rogwill","2008/10/28",""
"427","No Name I","No Name","http://vied12.github.io/pillen/static/pillen/bild1-q0R0HY.jpg","","True","#d79c90","280,4 mg","8,8 mm","4,5 mm","Zürich","2008/10/27",""
"428","No Name II","No Name","http://vied12.github.io/pillen/static/pillen/bild1-YbJeXj.jpg","","True","#f0c6c2","243,3 mg","8,2 mm","4,0 mm","Zürich","2008/10/27",""
"429","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-vzX1nc.jpg","http://vied12.github.io/pillen/static/pillen/bild2-m2LI72.jpg","False","#fa8942,#db551c","167,3 mg","8,2 mm","2,7 mm","Zürich","2008/10/26",""
"430","Rolex","Rolex (schwach ausgeprägt)","http://vied12.github.io/pillen/static/pillen/bild1-AaZKlp.jpg","","False","#e1c8a5","291,8 mg","8,2 mm","4,7 mm","Zürich","2008/10/25",""
"431","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-mJyoIF.jpg","http://vied12.github.io/pillen/static/pillen/bild2-UbteDF.jpg","False","#e9b410,#ddab0a","159,6 mg","8,0 mm","2,5 mm","Zürich","2008/10/25",""
"432","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-0lonJo.jpg","http://vied12.github.io/pillen/static/pillen/bild2-dJlquC.jpg","False","#7baf9b,#b7ddc0","166,2 mg","8,2 mm","2,7 mm","Zürich","2008/10/23",""
"433","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-xA3sic.jpg","","False","#cac6c6","307,6 mg","9,2 mm","4,1 mm","Zürich","2008/10/22",""
"434","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-gJ6Y4y.jpg","","False","#dddadc","280,2 mg","9,30 mm","3,74 mm","Roggwil","2008/10/21",""
"435","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-okAGmy.jpg","","False","#5b524d","3,5 mm","9,1 mm","3,5 mm","Zürich","2008/10/20",""
"436","No Name","No Name","http://vied12.github.io/pillen/static/pillen/bild1-24TMB4.jpg","","True","#68a860","258,94 mg","8,2 mm","4,5 mm","Zürich","2008/10/13",""
"437","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-ICgeAm.jpg","http://vied12.github.io/pillen/static/pillen/bild2-cvgTF1.jpg","False","#c19637,#b58315","154,7 mg","8,2 mm","2,8 mm","Zürich","2008/10/07",""
"438","Rolex (Krone)","Rolex (Krone)","http://vied12.github.io/pillen/static/pillen/bild1-kXwVdP.jpg","","False","#aa7f1e","165,6 mg","8,1 mm","2,4 mm","Zürich","2008/10/07",""
"439","Rolex (Krone)","Rolex (Krone)","http://vied12.github.io/pillen/static/pillen/bild1-xnXaYk.jpg","","False","#89a885","162,25 mg","8,1 mm","2,7 mm","Zürich","2008/10/07",""
"440","Kreuz","Kreuz","http://vied12.github.io/pillen/static/pillen/bild1-1NJRzO.jpg","","False","#f8d6bf","233,4 mg","8,3 mm","3,8 mm","Zürich","2008/09/01",""
"441","Ying-Yang (II)","Ying-Yang (II)","http://vied12.github.io/pillen/static/pillen/bild1-Fx18X6.jpg","","False","#8a8a83","247,8 mg","9,1 mm","3,4 mm","Zürich","2008/09/01",""
"442","Ying-Yang (I)","Ying-Yang (I)","http://vied12.github.io/pillen/static/pillen/bild1-gXoZsa.jpg","","False","#8a8a83","227,5 mg","8,1 mm","3,9 mm","Zürich","2008/09/01",""
"443","Kreuz","Kreuz","http://vied12.github.io/pillen/static/pillen/bild1-tx15Wk.jpg","","False","#f8d5be","233,41 mg","8,3 mm","3,8 mm","Zürich","2008/09/01",""
"444","G (Spiegelbild)","G (Spiegelbild)","http://vied12.github.io/pillen/static/pillen/bild1-8s8nZe.jpg","","False","#7b7875","250,9 mg","9,60 mm","3,58 mm","Zürich","2008/08/03",""
"445","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-bFetjY.jpg","","True","#976548","181,3 mg","7,44 mm","3,78 mm","Zürich","2008/08/03",""
"446","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-2nbqA4.jpg","","True","#37455d","200,5 mg","7,58 mm","3,98 mm","Zürich","2008/08/03",""
"447","Schleife","Schleife","http://vied12.github.io/pillen/static/pillen/bild1-01WEzv.jpg","","True","#8d96b7","200,0 mg","7,83 mm","3,70 mm","Zürich","2008/08/02",""
"448","Puma","Puma","http://vied12.github.io/pillen/static/pillen/bild1-x9f0RO.jpg","","False","#d3c4a2","231.2 mg","7.11 mm","5.04 mm","Zürich","2008/08/01",""
"449","Delphine","Delphine","http://vied12.github.io/pillen/static/pillen/bild1-aqAUzn.jpg","","True","#50504c","309.4 mg","9.16 mm","4.37 mm","Zürich","2008/08/01",""
"450","Stern","Stern","http://vied12.github.io/pillen/static/pillen/bild1-M5YG74.jpg","","False","#bee8e9","272.8 mg","9.16 mm","4.37 mm","Zürich","2008/08/01",""
"451","Lacoste","Lacoste","http://vied12.github.io/pillen/static/pillen/bild1-dblwGw.jpg","","False","#8c857c","247.8 mg","9.12 mm","3.38 mm","Zürich","2008/08/01",""
"452","Keltenkreuz","Keltenkreuz","http://vied12.github.io/pillen/static/pillen/bild1-j1MSUo.jpg","","True","#f6efea","297.4","9.09 mm","3.80 mm","Zürich","2008/07/01",""
"453","AP","AP","http://vied12.github.io/pillen/static/pillen/bild1-DnHVnR.jpg","","False","#e6e1e0","219.5 mg","8.09 mm","4.66 mm","Zürich","2008/07/01",""
"454","4-blättriges Kleeblatt","4-blättriges Kleeblatt","http://vied12.github.io/pillen/static/pillen/bild1-hDivuS.jpg","http://vied12.github.io/pillen/static/pillen/bild2-yN4HXU.jpg","False","#b48872,#c3947f","unbekannt","unbekannt","unbekannt","Berlin","2008/05/30",""
"455","Micky Maus","Micky Maus","http://vied12.github.io/pillen/static/pillen/bild1-mj6swb.jpg","","False","#0a0a09","unbekannt","unbekannt","unbekannt","Hamburg","2008/05/30",""
"456","Blaues Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-R4ENgB.jpg","http://vied12.github.io/pillen/static/pillen/bild2-2lwD8u.jpg","True","#8cc2c6,#71a4a5","193.2 mg","8.1 mm","4.3 mm","Zürich","2008/04/30",""
"457","HP","HP","http://vied12.github.io/pillen/static/pillen/bild1-gceEee.jpg","","False","#a5b088","277.4 mg","8.1 mm","4.5 mm","Zürich","2008/04/11",""
"458","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-PGJuqZ.jpg","","True","#ae4b41","263.9 mg","7.11 mm","5.33 mm","Zürich","2008/04/11",""
"459","Atömli","Atömli","http://vied12.github.io/pillen/static/pillen/bild1-WNNyf1.jpg","","True","#cdbfbe","247.8 mg","8.36 mm","4.14 mm","Zürich","2008/04/11",""
"460","Smily","Smily","http://vied12.github.io/pillen/static/pillen/bild1-OlaOdj.jpg","","False","#1a1d17","260 mm","8,14 mm","","Utrecht","2008/01/10",""
"461","Dollarzeichen  (Stringzeichen)","Dollarzeichen  (Stringzeichen)","http://vied12.github.io/pillen/static/pillen/bild1-vbklY0.jpg","","False","#261610","","8,1 mm","4,3 mm","Dresden","2007/11/16",""
"462","Smiley","Smiley","http://vied12.github.io/pillen/static/pillen/bild1-vD00q3.jpg","","False","#172007","","8,1 mm","4,3 mm","Dresden","2007/11/16",""
"463","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-lMuWNl.jpg","","False","#7d4c46","","8 mm","4 mm","Wien","2007/09/01",""
"464","Dollar","Dollar","http://vied12.github.io/pillen/static/pillen/bild1-V7suFE.jpg","","False","#396349","","8 mm","4 mm","Wien","2007/09/01",""
"465","Krone, Rolex","Krone","http://vied12.github.io/pillen/static/pillen/bild1-j79Deh.jpg","","False","#928867","","9 mm","3,5 mm","Wien","2007/09/01",""
"466","Versace, Zackenschaber, Rasierklinge","Versace, Zackenschaber, Rasierklinge","http://vied12.github.io/pillen/static/pillen/bild1-SkZg2C.jpg","http://vied12.github.io/pillen/static/pillen/bild2-Da3xXP.jpg","False","#c0bebb,#e1e2e0","252,84 mg","8,65 mm","3,69 mm","Zürich, Deutschland (Thüringen)","2007/08/16",""
"467","Playstation","Playstation","http://vied12.github.io/pillen/static/pillen/bild1-n5bj7Y.jpg","http://vied12.github.io/pillen/static/pillen/bild2-UFL4p0.jpg","False","#5874a0,#58709a","218,0 mg","7,8 mm","4,2 mm","Zürich","2007/08/16",""
"468","Rolex (Konturen schlecht erkennbar)","Rolex, Krone","http://vied12.github.io/pillen/static/pillen/bild1-MsWXSz.jpg","http://vied12.github.io/pillen/static/pillen/bild2-sH4Tjb.jpg","False","#bcbcbd,#b0aca9","297,1 mg","9,6 mm","3,9 mm","Zürch","2007/08/16",""
"469","Stern","Stern","http://vied12.github.io/pillen/static/pillen/bild1-qGQEi7.jpg","http://vied12.github.io/pillen/static/pillen/bild2-23wE5P.jpg","False","#dfdfdc,#a5a4a3","210,7 mg","7,9 mm","4,3 mm","Zürich","2007/08/16",""
"470","Grünes Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-PdFrVl.jpg","","True","#a9d1af","248,1 mg","7,1 mm","2,2 mm","Zürich","2007/06/01",""
"471","Atom","Atom","http://vied12.github.io/pillen/static/pillen/bild1-0LFHiR.jpg","","False","#786767","247,8 mg","8,4 mm","4,1 mm","Zürich","2007/06/01",""
"472","Rotes G","Rotes G","http://vied12.github.io/pillen/static/pillen/bild1-a2rFMv.jpg","","False","#ef7473","285,8 mg","8,1 mm","4,8 mm","Zürich","2007/04/01",""
"473","Red Bull","Red Bull","http://vied12.github.io/pillen/static/pillen/bild1-bHipvr.jpg","","False","#8a3a28","280,4 mg","8,1 mm","4,5 mm","Zürich","2007/01/01",""
"474","Lacoste","Krokodil, Lacoste","http://vied12.github.io/pillen/static/pillen/bild1-kMH0Do.jpg","","True","#959786","266,46 mg","9,07 mm","3,30 mm","Zürich","2006/11/01",""
"475","Doppelbogen","Doppelbogen","http://vied12.github.io/pillen/static/pillen/bild1-SBy87x.jpg","","True","#c69762","180 mg","8.2 mm","3.5 mm","Wien","2006/11/01",""
"476","Lacoste","Krokodil, Lacoste","http://vied12.github.io/pillen/static/pillen/bild1-SXkxnv.jpg","","True","#dedfd3","285,72 mg","9,06 mm","3,39 mm","Zürich","2006/11/01",""
"477","Haifisch, Shark","Haifisch","http://vied12.github.io/pillen/static/pillen/bild1-KjbDzN.jpg","","False","#b0814b","310 mg","9,1 mm","4,0 mm","Wien","2006/11/01",""
"478","Krone, Rolex","Krone, Rolex","http://vied12.github.io/pillen/static/pillen/bild1-HACSXj.jpg","","True","#7a5e4e","460,24 mg","9,07 mm","5,69 mm","Zürich","2006/11/01",""
"479","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-Evsi0o.jpg","","True","#eae9e1","unbekannt","9.22 mm","3.7 mm","Burriana (Spanien)","2006/09/01",""
"480","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-Umsk4q.jpg","","True","#eed9d9","unbekannt","9.19 mm","3.64 mm","Almeria (Spanien)","2006/09/01",""
"481","Sonne","Sonne","http://vied12.github.io/pillen/static/pillen/bild1-KBn1MX.jpg","","True","#eee1d4","unbekannt","8.06 mm","4.16 mm","Vilafranca (Spanien)","2006/09/01",""
"482","Triskel","Triskel","http://vied12.github.io/pillen/static/pillen/bild1-jKToKh.jpg","","True","#fbfaf3","unbekannt","9.26 mm","3.6 mm","Burriana (Spanien)","2006/08/01",""
"483","Diamant","Diamant","http://vied12.github.io/pillen/static/pillen/bild1-617gQ9.jpg","","True","#eec4c5","unbekannt","9.04 mm","3.41 mm","Burriana (Spanien)","2006/08/01",""
"484","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-0s1EQG.jpg","","False","#c7bbb0","275,2mg","9,2mm","3,7mm","Zürich","2006/08/01",""
"485","Hufeisen","Hufeisen","http://vied12.github.io/pillen/static/pillen/bild1-3QUoYq.jpg","","False","#b7b0ad","273,8mg","8,1mm","4,1mm","Zürich","2006/08/01",""
"486","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-WexK7Y.jpg","","True","#f688b6","unbekannt","9.05 mm","3.85 mm","Barcelona (Spanien)","2006/08/01",""
"487","Formel 1","Formel 1 (Rennauto)","http://vied12.github.io/pillen/static/pillen/bild1-J2pED6.jpg","http://vied12.github.io/pillen/static/pillen/bild2-44rBpN.jpg","False","#b89056,#c6a87f","260 mg","9.0 mm","3.7 mm","Zürich","2006/07/01",""
"488","blaue Nonames","ohne Logo (no name)","http://vied12.github.io/pillen/static/pillen/bild1-gpbvEP.jpg","","True","#969c8c","unbekannt","9.3 mm","unbekannt","Wien","2006/07/01",""
"489","Haifisch","Haifisch","http://vied12.github.io/pillen/static/pillen/bild1-kPxscJ.gif","http://vied12.github.io/pillen/static/pillen/bild2-80zVRK.gif","False","","298.6 mg","9.0 mm","3.9 mm","Zürich","2006/04/01",""
"490","Hand","Hand","http://vied12.github.io/pillen/static/pillen/bild1-Fbg9pr.gif","http://vied12.github.io/pillen/static/pillen/bild2-qQULPX.jpg","False","#716975","291,2 mg","7,67 mm","4,81 mm","Zürich","2005/09/01",""
"491","Smarties","keine","http://vied12.github.io/pillen/static/pillen/bild1-HirI8N.jpg","","True","#b98350","256,4 mg","9,1 mm","3,3 mm","Zürich","2005/08/01",""
"492","Rolls Royce","Rolls Royce","http://vied12.github.io/pillen/static/pillen/bild1-ny4scp.jpg","http://vied12.github.io/pillen/static/pillen/bild2-8KSZpw.jpg","False","#a0838f,#947783","275,8 mg","9,1 mm","4,0 mm","Zürich","2005/08/01",""
"493","Love","Love","http://vied12.github.io/pillen/static/pillen/bild1-18Z4EI.jpg","http://vied12.github.io/pillen/static/pillen/bild2-AxU91y.jpg","True","#c0bcb9,#837777","4,5 mm","277,8 mg","7,1 mm","Zürich","2005/06/01",""
"494","Roter Doppelblitz","Doppelblitz","http://vied12.github.io/pillen/static/pillen/bild1-OVMvIq.jpg","http://vied12.github.io/pillen/static/pillen/bild2-kGtlTs.jpg","True","#a83355,#e99ebe","277,8 mg","8,3 mm","4,2 mm","Zürich","2005/05/01",""
"495","Rote Mercedes","Mercedes Stern","http://vied12.github.io/pillen/static/pillen/bild1-ah2pK6.jpg","http://vied12.github.io/pillen/static/pillen/bild2-WIfnas.jpg","False","#d26371,#964047","298 mg","9,1 mm","3,8 mm","Zürich","2005/04/01",""
"496","8 1/2","8 1/2","http://vied12.github.io/pillen/static/pillen/bild1-fDwzrc.jpg","http://vied12.github.io/pillen/static/pillen/bild2-KsdhXW.jpg","True","#82313f,#c97385","297,1 mg","9,1 mm","3,85 mm","Zürich","2005/02/01",""
