"Pill_id","name","logo","image","image_back","break_notch","color","weight","diameter","thickness","place","date","more_infos"
"278","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-obwuk3.jpg","","False","#c29141","","9 mm","5 mm","Wien","2010/12/17",""
"279","Ohm","Omega","http://vied12.github.io/pillen/static/pillen/bild1-pTEC56.jpg","http://vied12.github.io/pillen/static/pillen/bild2-uYnhzM.jpg","False","#c6aaa6,#98746a","233,4 mg","8,2 mm","3,7 mm","Zürich","2010/12/03",""
"280","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-idj27n.jpg","","True","#cfd9c4","279,6 mg","9,1 mm","4,2 mm","Zürich","2010/11/24",""
"281","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-UU3PZr.jpg","","True","#a4b39c","278,5 mg","9,4 mm","3,6 mm","","2010/11/24",""
"282","Kleeblatt","Kleeblatt","http://vied12.github.io/pillen/static/pillen/bild1-3eolVv.jpg","","True","#191916","","9 mm","5 mm","Niederlande/ Norwegen","2010/11/16",""
"283","Rolex","Krone","http://vied12.github.io/pillen/static/pillen/bild1-tXr3Vb.jpg","","False","#aa7a1b","","8,0 mm","3,0 mm","Wien","2010/10/30",""
"284","No Name","kein Logo, eliptische Form","http://vied12.github.io/pillen/static/pillen/bild1-kcU6bX.jpg","http://vied12.github.io/pillen/static/pillen/bild2-otG0uz.jpg","False","#94adbd,#9ab2c0","369,9 mg","12,6 mm","4,7 mm","Zürich","2010/10/22",""
"285","Frau mit Herz","Frau mit Herz","http://vied12.github.io/pillen/static/pillen/bild1-kFPASA.jpg","http://vied12.github.io/pillen/static/pillen/bild2-6fS8uo.jpg","True","#c8c1c9,#aebbc8","271,6 mg","8,7 mm","4,0 mm","Zürich","2010/10/08",""
"286","Lacoste","Krokodil","http://vied12.github.io/pillen/static/pillen/bild1-r5L0Fi.jpg","http://vied12.github.io/pillen/static/pillen/bild2-UhvIY2.jpg","True","#ade0f4,#81c1ea","223,6 mg","7,1 mm","4,7 mm","Zürich","2010/10/05",""
"287","Venus","Venus","http://vied12.github.io/pillen/static/pillen/bild1-EWLXcE.jpg","http://vied12.github.io/pillen/static/pillen/bild2-aSczvw.jpg","False","#9fb0bb,#d2e4f0","268,2 mg","8,1 mm","4,1 mm","Zürich","2010/08/27",""
"288","Blumenstrauß","Blume","http://vied12.github.io/pillen/static/pillen/bild1-uWshPV.jpg","http://vied12.github.io/pillen/static/pillen/bild2-eacnaO.jpg","True","#9aa5b4,#bcc9d9","ca. 332 mg (geschätzt weil halbe Pille)","8,6 mm","4,0 mm","Zürich","2010/08/20",""
"289","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-pE9PbO.jpg","http://vied12.github.io/pillen/static/pillen/bild2-MB5yu4.jpg","False","#d8dcd4,#e3f2ea","203,1 mg","8,1 mm","3,1 mm","Zürich","2010/08/06",""
"290","Venus","Venus","http://vied12.github.io/pillen/static/pillen/bild1-F5ssDb.jpg","http://vied12.github.io/pillen/static/pillen/bild2-O28STe.jpg","False","#9dafba,#8e9aa2","253,1 mg","8,1 mm","4,0 mm","Zürich","2010/07/16",""
"291","Notenschlüssel","Notenschlüssel","http://vied12.github.io/pillen/static/pillen/bild1-iaCAyU.jpg","http://vied12.github.io/pillen/static/pillen/bild2-s3tAGc.jpg","False","#b0a788,#d2caad","213 - 238 mg","8,1 - 8,3 mm","3,3 - 3,99 mm","Zürich","2010/07/16",""
"292","Apple","Apfel","http://vied12.github.io/pillen/static/pillen/bild1-Stcmpb.jpg","","True","#9a9a7a","235,4 mg","8,1 mm","4,0 mm","Zürich","2010/06/18",""
"293","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-vv9q6u.jpg","","True","#c16267","116,1 mg","7,1 mm","3,2 mm","Zürich","2010/06/18",""
"294","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-lZSW1u.jpg","","True","#c0706f","309,1 mg","9,4 mm","3,7 mm","Zürich","2010/06/18",""
"295","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-D6kvc5.jpg","","False","#a79b99","357,8 mg","9,1 mm","5,2 mm","Zürich","2010/06/18",""
"296","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-0F9eyE.jpg","http://vied12.github.io/pillen/static/pillen/bild2-mQUDta.jpg","False","#a8c2c5,#cdd5cd","154,0 mg","8,2 mm","2,8 mm","Zürich","2010/05/28",""
"297","No Name","No Name","http://vied12.github.io/pillen/static/pillen/bild1-qkCI4s.jpg","http://vied12.github.io/pillen/static/pillen/bild2-oL9lFW.jpg","False","#c7c8c2,#b1b2ac","181,2 mg","9,1 mm","2,2 mm","Zürich","2010/05/07",""
"298","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-6j81Fs.jpg","http://vied12.github.io/pillen/static/pillen/bild2-AnuKry.jpg","False","#bbc5bb,#afbeb1","292,3 mg","8,1 mm","4,9 mm","Zürich","2010/04/27",""
"299","Stern","Stern","http://vied12.github.io/pillen/static/pillen/bild1-FwK5ER.jpg","http://vied12.github.io/pillen/static/pillen/bild2-sPBhzN.jpg","False","#b6d5ee,#a6cde6","320,3 mg","8,1 mm","5,5 mm","Zürich","2010/04/23",""
"300","Stier","Stier","http://vied12.github.io/pillen/static/pillen/bild1-BOKghw.jpg","http://vied12.github.io/pillen/static/pillen/bild2-4a9JHY.jpg","True","#f6bed6,#edbbc8","252,0 mg","9,4 mm","3,6 mm","Zürich","2010/04/16",""
"301","Katze","Katze","http://vied12.github.io/pillen/static/pillen/bild1-yndv3o.jpg","http://vied12.github.io/pillen/static/pillen/bild2-mswTyw.jpg","False","#f1a396,#f0ad9d","285,5 mg","8,1 mm","5,5 mm","Zürich","2010/03/05",""
"302","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-RQaNWn.jpg","http://vied12.github.io/pillen/static/pillen/bild2-wTA4Ju.jpg","True","#bfcbb8,#c9d1c5","278,5 mg","9,4 mm","3,6 mm","Zürich","2010/02/12",""
"303","Keltenkreuz","Keltenkreuz","http://vied12.github.io/pillen/static/pillen/bild1-0ekuDs.jpg","http://vied12.github.io/pillen/static/pillen/bild2-orDYES.jpg","True","#afaea9,#dedcda","321,9 mg","9,1 mm","4,0 mm","Zürich","2010/02/12",""
"304","Känguru","Känguru","http://vied12.github.io/pillen/static/pillen/bild1-yiJXXe.jpg","http://vied12.github.io/pillen/static/pillen/bild2-u4HpsA.jpg","False","#f7f2e2,#d1cdc1","326,6 mg","9,1 mm","4,5 mm","Zürich","2010/02/05",""
"305","Kreuz","Kreuz","http://vied12.github.io/pillen/static/pillen/bild1-lg25o2.jpg","http://vied12.github.io/pillen/static/pillen/bild2-uoRCzE.jpg","True","#9999d6,#9f9dd1","280,5 mg","8,6 mm","4,0 mm","Zürich","2010/01/26",""
"306","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-qx3Itd.jpg","http://vied12.github.io/pillen/static/pillen/bild2-4G4GPg.jpg","True","#c8c9c4,#e5e8e6","294 mg","9,3 mm","3,7 mm","Zürich","2010/01/15",""
"307","Bentley","Bentley","http://vied12.github.io/pillen/static/pillen/bild1-2fEVro.jpg","http://vied12.github.io/pillen/static/pillen/bild2-YvcKyb.jpg","True","#aeb0ab,#a6a5a0","223,8 mg","9,3 mm","3,8 mm","Zürich","2009/12/17",""
"308","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-FMEEeV.jpg","","True","#57858d","244,0 mg","8,10 mm","3,71 mm","Zürich","2009/12/03",""
"309","Noname","Noname","http://vied12.github.io/pillen/static/pillen/bild1-4EbwDa.jpg","","True","#a2aaac","264.3 mg","7,06 mm","6,07 mm","Zürich","2009/12/02",""
"310","Tulpe","Tulpe","http://vied12.github.io/pillen/static/pillen/bild1-yEd4n3.jpg","","True","#cfc4ba","244,0 mg","8,10 mm","3,71 mm","Zürich","2009/12/02",""
"311","Rolex, Krone","Rolex, Krone","http://vied12.github.io/pillen/static/pillen/bild1-dtze9K.jpg","","False","#cc98a1","296,6 mg","9,11 mm","3,57 mm","Zürich","2009/12/01",""
"312","Noname","Noname","http://vied12.github.io/pillen/static/pillen/bild1-bCb7mR.jpg","","False","#9d8677","256,8 mg","8,45 mm","4,97 mm","Zürich","2009/12/01",""
"313","Haifisch","Haifisch","http://vied12.github.io/pillen/static/pillen/bild1-ixFwCd.jpg","","False","#cfab6a","unbekannt","9,0 mm","4,0 mm","Wien","2009/10/31",""
"314","Fledermaus","Fledermaus (Doppel-Logo)","http://vied12.github.io/pillen/static/pillen/bild1-N7Ma2T.jpg","","True","#d6d8d2","206.8 mg","9.2 mm","3.5 mm","Zürich","2009/10/02",""
"315","Elefant","Elefant","http://vied12.github.io/pillen/static/pillen/bild1-ugM2bm.jpg","http://vied12.github.io/pillen/static/pillen/bild2-slPM1u.jpg","False","#86680b,#866305","379.1 mg","8.1 mm","5.7 mm","Zürich","2009/09/04",""
"316","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-18zPgN.jpg","","False","#a1b0b0","167.0 mg","8.2 mm","3.0 mm","Zürich","2009/08/28",""
